ID, Latitude, Longitude, PM
5752,40.278594,-111.700186,9.64
5753,40.278594,-111.700186,8.67
5754,40.316941,-111.677033,7.89
5755,40.316941,-111.677033,6.4
5756,41.720159,-112.15917,0.22
5757,41.720159,-112.15917,0.07
5760,40.310106,-111.713247,8.79
5761,40.310106,-111.713247,9.29
5786,40.278251,-111.688656,8.38
5787,40.278251,-111.688656,8.02
5790,40.265172,-111.69002,7.23
5791,40.265172,-111.69002,8.84
5792,40.673606,-111.798415,6.89
5793,40.673606,-111.798415,6.89
5796,40.295698,-111.714178,7.67
5797,40.295698,-111.714178,7.29
5802,40.710013,-111.831886,5.1
5803,40.710013,-111.831886,4.85
5806,40.042271,-111.72883,12.71
5807,40.042271,-111.72883,8.82
5808,40.646835,-112.025588,14
5809,40.646835,-112.025588,13.75
5828,40.409571,-111.852501,12
5829,40.409571,-111.852501,11.85
5834,41.243506,-111.790508,0.34
5835,41.243506,-111.790508,0.88
5836,40.464425,-111.771045,11.15
5837,40.464425,-111.771045,10.38
5842,40.643152,-112.03203,14.65
5843,40.643152,-112.03203,13.67
5856,40.506699,-111.403186,6
5857,40.506699,-111.403186,3.41
5866,40.596506,-111.801081,10.08
5867,40.596506,-111.801081,10.31
5968,40.3852,-111.9901,3.84
5969,40.3852,-111.9901,3.18
5986,40.787857,-111.732105,7.02
5987,40.787857,-111.732105,5.04
5990,40.720201,-111.819721,4.37
5991,40.720201,-111.819721,4.36
60,40.772832,-111.871567,5.4
6018,41.124455,-111.924707,0.8
6019,41.124455,-111.924707,1.33
6038,40.265065,-111.641108,3.86
6039,40.265065,-111.641108,4.78
6040,40.750038,-111.699202,5.4
6041,40.750038,-111.699202,4.43
6048,40.154885,-111.568339,5.02
6049,40.154885,-111.568339,6.22
6050,40.646466,-111.958765,7.02
6051,40.646466,-111.958765,6.64
6062,40.762579,-111.776668,5.24
6063,40.762579,-111.776668,3.41
6078,40.763772,-111.860343,3.93
6079,40.763772,-111.860343,4.25
6098,40.59646,-111.801086,1.42
6100,40.780783,-111.865607,0.07
6146,40.05355,-111.673824,9.39
6147,40.05355,-111.673824,11.35
6248,40.615089,-111.831414,8.59
6249,40.615089,-111.831414,8.91
6300,40.293628,-111.708981,7.13
6301,40.293628,-111.708981,6.57
6304,40.308027,-111.688641,4.91
6305,40.308027,-111.688641,6.87
6316,40.286076,-111.676523,7.02
6317,40.286076,-111.676523,7.7
6318,40.271812,-111.704772,7.51
6319,40.271812,-111.704772,8.91
6328,40.785142,-111.732042,4.42
6329,40.785142,-111.732042,5.11
6356,40.77445,-111.88332,3.27
6357,40.77445,-111.88332,3.87
6360,40.766939,-111.867444,5.64
6361,40.766939,-111.867444,4.52
6392,41.726894,-112.253201,0.55
6393,41.726894,-112.253201,0.65
6434,40.696261,-111.877387,5.47
6435,40.696261,-111.877387,6.44
6474,40.395424,-111.804851,10.83
6475,40.395424,-111.804851,7.29
6476,40.473287,-111.247671,8.72
6477,40.473287,-111.247671,10.3
649,40.751036,-111.863737,0.74
650,40.751036,-111.863737,4.16
6614,40.790446,-111.179579,2
6615,40.790446,-111.179579,2.17
662,40.537067,-111.923469,11.53
6620,40.452368,-111.891484,10.19
6621,40.452368,-111.891484,9.95
6622,40.743611,-111.876319,3.27
663,40.537067,-111.923469,12.14
665,40.70651,-111.821031,4.19
666,40.70651,-111.821031,4.78
669,40.74772,-111.578768,4.57
670,40.74772,-111.578768,3.86
6722,37.111172,-113.550371,1.3
6723,37.111172,-113.550371,0.55
71,41.11769,-111.91721,2.46
7152,41.193576,-112.103657,0.12
7153,41.193576,-112.103657,0.32
72,40.770191,-111.947073,8
7206,40.685661,-111.82788,4.25
7207,40.685661,-111.82788,4.08
7226,40.641239,-112.300908,6.7
7227,40.641239,-112.300908,5.66
7300,40.740052,-111.607013,3
7301,40.740052,-111.607013,2.8
76,40.600464,-111.795459,9.77
77,40.750817,-111.825285,6.72
7755,40.696194,-111.958199,5.08
81,40.287637,-111.642433,4.18
810,41.012893,-111.944776,0.33
811,41.012893,-111.944776,0.73
814,40.83605,-111.91104,2.19
815,40.83605,-111.91104,2.09
816,40.843392,-111.906374,1.27
817,40.843392,-111.906374,1.16
826,40.707407,-111.810927,5.02
827,40.707407,-111.810927,5.21
874,40.87022,-111.877244,0.23
875,40.87022,-111.877244,1.2
876,40.575365,-111.792203,7.57
877,40.575365,-111.792203,7.93
884,40.777286,-111.895326,4.15
885,40.777286,-111.895326,2.54
894,41.286377,-111.988803,0.23
895,41.286377,-111.988803,0.02
938,40.789931,-111.893764,3.98
939,40.789931,-111.893764,3.32
944,41.237524,-111.971543,0.14
945,41.237524,-111.971543,0.27
